"siteId","nctId","title","therapeuticArea","phase","overallStatus","sponsor","sponsorClass","facility","siteStatus","city","state","zip","country","latitude","longitude","contactCount","emailContactCount","phoneContactCount"
"NCT07573956-SITE-1","NCT07573956","Trial Evaluating Hypo-fractionated Accelerated Versus Conventional Fractionated Adjuvant RT in Head & Neck Malignancies","Oncology","Phase 2/3","RECRUITING","All India Institute of Medical Sciences","Academic / Hospital / Other","Dr. Aman Sharma, Associate Professor, Radiation Oncology, NCI, AIIMS","RECRUITING","Jhajjar","Haryana","","India","28.6063","76.6565","1","1","1"
"NCT07572240-SITE-1","NCT07572240","A Randomized, Open-Label, Parallel Proof-of-Concept Study to Assess the Effect of AP-Brain Collagen Peptides on the Improvement of Attention, Focus, and Memory in Stressed But Otherwise Healthy Individuals","Mental Health / Cognitive Health","Not Applicable","NOT_YET_RECRUITING","Rousselot BVBA","Industry","Omkar ENT Hospital and Research Centre","","Nashik","Maharashtra","422002","India","19.99727","73.79096","2","1","1"
"NCT07572240-SITE-2","NCT07572240","A Randomized, Open-Label, Parallel Proof-of-Concept Study to Assess the Effect of AP-Brain Collagen Peptides on the Improvement of Attention, Focus, and Memory in Stressed But Otherwise Healthy Individuals","Mental Health / Cognitive Health","Not Applicable","NOT_YET_RECRUITING","Rousselot BVBA","Industry","Samarth Hospital","","Nashik","Maharashtra","423203","India","19.99727","73.79096","2","1","1"
"NCT07572240-SITE-3","NCT07572240","A Randomized, Open-Label, Parallel Proof-of-Concept Study to Assess the Effect of AP-Brain Collagen Peptides on the Improvement of Attention, Focus, and Memory in Stressed But Otherwise Healthy Individuals","Mental Health / Cognitive Health","Not Applicable","NOT_YET_RECRUITING","Rousselot BVBA","Industry","New Manak Healthcare Care Hospital","","Navi Mumbai","Maharashtra","400706","India","19.03681","73.01582","2","1","1"
"NCT07572240-SITE-4","NCT07572240","A Randomized, Open-Label, Parallel Proof-of-Concept Study to Assess the Effect of AP-Brain Collagen Peptides on the Improvement of Attention, Focus, and Memory in Stressed But Otherwise Healthy Individuals","Mental Health / Cognitive Health","Not Applicable","NOT_YET_RECRUITING","Rousselot BVBA","Industry","MGM Medical College & Hospital","","Navi Mumbai","Maharashtra","410209","India","19.03681","73.01582","2","1","1"
"NCT07572240-SITE-5","NCT07572240","A Randomized, Open-Label, Parallel Proof-of-Concept Study to Assess the Effect of AP-Brain Collagen Peptides on the Improvement of Attention, Focus, and Memory in Stressed But Otherwise Healthy Individuals","Mental Health / Cognitive Health","Not Applicable","NOT_YET_RECRUITING","Rousselot BVBA","Industry","Punawale Multispecialty Hospital","","Pimpri-Chinchwad","Maharashtra","411033","India","18.61867","73.80375","2","1","1"
"NCT07572240-SITE-6","NCT07572240","A Randomized, Open-Label, Parallel Proof-of-Concept Study to Assess the Effect of AP-Brain Collagen Peptides on the Improvement of Attention, Focus, and Memory in Stressed But Otherwise Healthy Individuals","Mental Health / Cognitive Health","Not Applicable","NOT_YET_RECRUITING","Rousselot BVBA","Industry","Bhaktisiddhant Hospital","","Pimpri-Chinchwad","Maharashtra","411044","India","18.61867","73.80375","2","1","1"
"NCT07572240-SITE-7","NCT07572240","A Randomized, Open-Label, Parallel Proof-of-Concept Study to Assess the Effect of AP-Brain Collagen Peptides on the Improvement of Attention, Focus, and Memory in Stressed But Otherwise Healthy Individuals","Mental Health / Cognitive Health","Not Applicable","NOT_YET_RECRUITING","Rousselot BVBA","Industry","Pawana Hospital","","Pune","Maharashtra","410506","India","18.51957","73.85535","2","1","1"
"NCT07572240-SITE-8","NCT07572240","A Randomized, Open-Label, Parallel Proof-of-Concept Study to Assess the Effect of AP-Brain Collagen Peptides on the Improvement of Attention, Focus, and Memory in Stressed But Otherwise Healthy Individuals","Mental Health / Cognitive Health","Not Applicable","NOT_YET_RECRUITING","Rousselot BVBA","Industry","Silver Birch Multispecialty Hospital","","Pune","Maharashtra","411041","India","18.51957","73.85535","2","1","1"
"NCT07572240-SITE-9","NCT07572240","A Randomized, Open-Label, Parallel Proof-of-Concept Study to Assess the Effect of AP-Brain Collagen Peptides on the Improvement of Attention, Focus, and Memory in Stressed But Otherwise Healthy Individuals","Mental Health / Cognitive Health","Not Applicable","NOT_YET_RECRUITING","Rousselot BVBA","Industry","Gurukrupa Hospital","","Thane","Maharashtra","400601","India","19.19704","72.96355","2","1","1"
"NCT07571109-SITE-1","NCT07571109","AMAZE 4: A Research Study Investigating How Well the Medicine NNC0487-0111 Helps People With Excess Body Weight and Obstructive Sleep Apnoea Treated With Positive Airway Pressure Lose Weight and Improve Sleep Apnoea","Mental Health / Cognitive Health","Phase 3","NOT_YET_RECRUITING","Novo Nordisk A/S","Industry","Guntur Government medical College","","Guntur","Andhra Pradesh","522004,","India","16.29974","80.45729","0","0","0"
"NCT07571109-SITE-2","NCT07571109","AMAZE 4: A Research Study Investigating How Well the Medicine NNC0487-0111 Helps People With Excess Body Weight and Obstructive Sleep Apnoea Treated With Positive Airway Pressure Lose Weight and Improve Sleep Apnoea","Mental Health / Cognitive Health","Phase 3","NOT_YET_RECRUITING","Novo Nordisk A/S","Industry","Government Siddhartha Medical College & Government General Hospital, Vijayawada","","Vijayawada","Andhra Pradesh","520008","India","16.50745","80.6466","0","0","0"
"NCT07571109-SITE-3","NCT07571109","AMAZE 4: A Research Study Investigating How Well the Medicine NNC0487-0111 Helps People With Excess Body Weight and Obstructive Sleep Apnoea Treated With Positive Airway Pressure Lose Weight and Improve Sleep Apnoea","Mental Health / Cognitive Health","Phase 3","NOT_YET_RECRUITING","Novo Nordisk A/S","Industry","Rajarajeswari Medical College and Hospital","","Bengaluru","Karnataka","560074","India","12.97194","77.59369","0","0","0"
