"nctId","overallStatus","therapeuticArea","phase","phaseBucket","leadSponsor","leadSponsorClass","studyType","primaryPurpose","enrollmentCount","indiaSiteCount","globalSiteCount","indiaStates","indiaCities","hasAnyContact","hasContactEmail","hasContactPhone","trialUrl","briefTitle"
"NCT07573956","RECRUITING","Oncology","Phase 2/3","Mid stage","All India Institute of Medical Sciences","Academic / Hospital / Other","INTERVENTIONAL","TREATMENT","369","1","1","Haryana","Jhajjar","True","True","True","https://clinicaltrials.gov/study/NCT07573956","Trial Evaluating Hypo-fractionated Accelerated Versus Conventional Fractionated Adjuvant RT in Head & Neck Malignancies"
"NCT07572240","NOT_YET_RECRUITING","Mental Health / Cognitive Health","Not Applicable","Not applicable","Rousselot BVBA","Industry","INTERVENTIONAL","BASIC_SCIENCE","72","9","9","Maharashtra","Nashik | Navi Mumbai | Pimpri-Chinchwad | Pune | Thane","True","True","True","https://clinicaltrials.gov/study/NCT07572240","A Randomized, Open-Label, Parallel Proof-of-Concept Study to Assess the Effect of AP-Brain Collagen Peptides on the Improvement of Attention, Focus, and Memory in Stressed But Otherwise Healthy Individuals"
"NCT07571109","NOT_YET_RECRUITING","Mental Health / Cognitive Health","Phase 3","Late / post-market","Novo Nordisk A/S","Industry","INTERVENTIONAL","TREATMENT","300","13","90","Andhra Pradesh | Karnataka | Kerala | Maharashtra | National Capital Territory of Delhi | New Delhi | Odisha | Telangana | Uttar Pradesh | West Bengal","Bengaluru | Bhubaneswar | Delhi | Guntur | Hyderabad | Jaipur | Kochi | Kolkata | Lucknow | Mumbai | Nagpur | New Delhi | Vijayawada","True","True","True","https://clinicaltrials.gov/study/NCT07571109","AMAZE 4: A Research Study Investigating How Well the Medicine NNC0487-0111 Helps People With Excess Body Weight and Obstructive Sleep Apnoea Treated With Positive Airway Pressure Lose Weight and Improve Sleep Apnoea"
"NCT07571005","NOT_YET_RECRUITING","Mental Health / Cognitive Health","Phase 3","Late / post-market","Novo Nordisk A/S","Industry","INTERVENTIONAL","TREATMENT","300","13","80","Andhra Pradesh | Karnataka | Kerala | Maharashtra | New Delhi | Odisha | Telangana | Uttar Pradesh | West Bengal","Bengaluru | Bhubaneswar | Delhi | Guntur | Hyderabad | Jaipur | Kochi | Kolkata | Lucknow | Mumbai | Nagpur | New Delhi | Vijayawada","True","True","True","https://clinicaltrials.gov/study/NCT07571005","AMAZE 3: A Research Study Investigating How Well the Medicine NNC0487-0111 Helps People With Excess Body Weight and Obstructive Sleep Apnoea Not Treated With Positive Airway Pressure Lose Weight and Improve Sleep Apnoea"
"NCT07567001","NOT_YET_RECRUITING","Cardiology / Vascular","Phase 3","Late / post-market","Novo Nordisk A/S","Industry","INTERVENTIONAL","TREATMENT","5610","45","825","Andhra Pradesh | Chhattisgarh | Gujarat | Haryana | Karnataka | Kerala | Madhya Pradesh | Maharashtra | National Capital Territory of Delhi | New Delhi | Odisha | Punjab | Tamil Nadu | Telangana | Uttar Pradesh | Uttarakhand | West Bengal","Aligarh | Bangalore | Belagavi | Bhubaneswar | Chennai | Coimbatore | Dehradun | Durgapur | Guntur | Gurgaon | Gurugram | Hubbali | Hyderabad | Indore | Kanpur | Karad | Kochi | Lucknow | Ludhiana | Mohali | Mumbai | Mysuru | Nagpur | Nashik | New Dehli | New Delhi | Pune | Raipur | Udham Singh Nagar | Vadodara | Varanasi | Vijaywada","True","True","True","https://clinicaltrials.gov/study/NCT07567001","A Research Study to Look at How Well NNC0487-0111 Works Compared to Placebo in People With Heart Failure and Obesity"
"NCT07565987","RECRUITING","Oncology","Not Applicable","Not applicable","All India Institute of Medical Sciences","Academic / Hospital / Other","INTERVENTIONAL","TREATMENT","20","1","1","Haryana","Jhajjar","True","True","True","https://clinicaltrials.gov/study/NCT07565987","A Phase II Trial Evaluating Upfront Stereotactic Body Radiotherapy in Stage III Advanced Non-small Cell Lung Cancer"
"NCT07557277","RECRUITING","Dental / Oral Health","Not Provided","Not provided","Postgraduate Institute of Dental Sciences Rohtak","Academic / Hospital / Other","OBSERVATIONAL","","346","1","1","Haryana","Rohtak","True","True","True","https://clinicaltrials.gov/study/NCT07557277","Gingival Recession and Oral Health-related Quality of Life: A Cross-sectional Study"
"NCT07555392","RECRUITING","Vaccines / Preventive Medicine","Phase 2/3","Mid stage","Bharat Biotech International Limited","Industry","INTERVENTIONAL","PREVENTION","1000","10","10","Assam | Bihar | Chhattisgarh | Goa | Haryana | Odisha | Rajasthan | The National Capital Territory (nct) of Delhi | Uttarakhand","Ajmer | Bhubaneswar | Bikaner | Delhi | Guwahati | Mumbai | Patna | Raipur | Rishikesh | Rohtak","True","True","True","https://clinicaltrials.gov/study/NCT07555392","A Seamless Phase II/III, Observer-blind, to Evaluate Immunogenicity and Safety of Chikungunya Virus Vaccine in Healthy Subjects 12-65Years of Age."
"NCT07553598","NOT_YET_RECRUITING","Oncology","Not Provided","Not provided","Abhishek Shankar","Academic / Hospital / Other","OBSERVATIONAL","","3230","1","1","National Capital Territory of Delhi","New Delhi","True","True","True","https://clinicaltrials.gov/study/NCT07553598","AIRCARE (Air Pollution and Cancer Research Ecosystem): Center for Advanced Research on Environmental Health and Lung Cancer Risk"
"NCT07549373","NOT_YET_RECRUITING","Infectious Disease","Not Applicable","Not applicable","Sharda University","Academic / Hospital / Other","INTERVENTIONAL","TREATMENT","90","1","1","Uttar Pradesh","Noida","True","True","True","https://clinicaltrials.gov/study/NCT07549373","Effect of Diode Laser, Gudmar and Vinegar in Diabetic Patients During Root Canal Treatment"
